quote_id,memo_topic,original_clause,modified_clause
Q0101,Renewal,"Unless Customer provides written notice of non-renewal at least ninety days before the end of the then-current term, this Order Form will automatically renew for an additional twelve-month term. Renewal fees will be based on Company’s then-current pricing and packaging, and Company may increase renewal pricing by up to ten percent for the renewed term.","This Order Form will not automatically renew unless the parties mutually agree in writing before the end of the then-current term. Any renewal fees will be subject to mutual agreement, and any renewal price increase will not exceed five percent for substantially the same products, scope, usage level, and term length."
Q0102,Usage / Overages,"Company may invoice Customer for any usage exceeding the committed amount set forth in this Order Form at Company’s then-current list rates or applicable overage rates. Customer is responsible for all fees associated with excess usage, whether or not such usage was forecasted, budgeted, or approved in advance by Customer.","Company will provide Customer with reasonable notice if usage is projected to exceed the committed amount set forth in this Order Form. Customer will not be responsible for excess usage fees unless Customer approves the additional usage in writing or the parties mutually agree to address the excess usage through a true-up, expansion order, or renewal."
Q0112,Renewal,"Unless Customer provides written notice of non-renewal at least ninety days before the end of the then-current term, this Order Form will automatically renew for an additional twelve-month term. Renewal fees will be based on Company’s then-current pricing and packaging, and Company may increase renewal pricing by up to ten percent for the renewed term.","This Order Form will not automatically renew unless the parties mutually agree in writing before the end of the then-current term. Any renewal fees will be subject to mutual agreement, and any renewal price increase will not exceed five percent for substantially the same products, scope, usage level, and term length."
Q0121,Usage / Overages,"Company may invoice Customer for any usage exceeding the committed amount set forth in this Order Form at Company’s then-current list rates or applicable overage rates. Customer is responsible for all fees associated with excess usage, whether or not such usage was forecasted, budgeted, or approved in advance by Customer.","Company will provide Customer with reasonable notice if usage is projected to exceed the committed amount set forth in this Order Form. Customer will not be responsible for excess usage fees unless Customer approves the additional usage in writing or the parties mutually agree to address the excess usage through a true-up, expansion order, or renewal."
Q0131,Publicity / Reference Rights,"Company may use Customer’s name, logo, trademarks, and related materials in customer lists, sales materials, case studies, press releases, investor materials, website content, and other marketing or reference activities without requiring Customer’s prior review or approval. Customer agrees to reasonably participate in reference calls, case studies, or other promotional activities upon Company’s request.","Subject to Customer’s prior written approval, Company may use Customer’s name, logo, trademarks, or related materials in customer lists, sales materials, case studies, press releases, investor materials, website content, or other marketing or reference activities. Customer may participate in reference calls, case studies, or other promotional activities only as mutually agreed by the parties in writing."
Q0141,Renewal,"Unless Customer provides written notice of non-renewal at least ninety days before the end of the then-current term, this Order Form will automatically renew for an additional twelve-month term. Renewal fees will be based on Company’s then-current pricing and packaging, and Company may increase renewal pricing by up to ten percent for the renewed term.","This Order Form will not automatically renew unless the parties mutually agree in writing before the end of the then-current term. Any renewal fees will be subject to mutual agreement, and any renewal price increase will not exceed five percent for substantially the same products, scope, usage level, and term length."
Q0161,Publicity / Reference Rights,"Company may use Customer’s name, logo, trademarks, and related materials in customer lists, sales materials, case studies, press releases, investor materials, website content, and other marketing or reference activities without requiring Customer’s prior review or approval. Customer agrees to reasonably participate in reference calls, case studies, or other promotional activities upon Company’s request.","Subject to Customer’s prior written approval, Company may use Customer’s name, logo, trademarks, or related materials in customer lists, sales materials, case studies, press releases, investor materials, website content, or other marketing or reference activities. Customer may participate in reference calls, case studies, or other promotional activities only as mutually agreed by the parties in writing."
Q0162,Renewal,"Unless Customer provides written notice of non-renewal at least ninety days before the end of the then-current term, this Order Form will automatically renew for an additional twelve-month term. Renewal fees will be based on Company’s then-current pricing and packaging, and Company may increase renewal pricing by up to ten percent for the renewed term.","This Order Form will not automatically renew unless the parties mutually agree in writing before the end of the then-current term. Any renewal fees will be subject to mutual agreement, and any renewal price increase will not exceed five percent for substantially the same products, scope, usage level, and term length."
Q0171,Usage / Overages,"Company may invoice Customer for any usage exceeding the committed amount set forth in this Order Form at Company’s then-current list rates or applicable overage rates. Customer is responsible for all fees associated with excess usage, whether or not such usage was forecasted, budgeted, or approved in advance by Customer.","Company will provide Customer with reasonable notice if usage is projected to exceed the committed amount set forth in this Order Form. Customer will not be responsible for excess usage fees unless Customer approves the additional usage in writing or the parties mutually agree to address the excess usage through a true-up, expansion order, or renewal."
Q0172,Publicity / Reference Rights,"Company may use Customer’s name, logo, trademarks, and related materials in customer lists, sales materials, case studies, press releases, investor materials, website content, and other marketing or reference activities without requiring Customer’s prior review or approval. Customer agrees to reasonably participate in reference calls, case studies, or other promotional activities upon Company’s request.","Subject to Customer’s prior written approval, Company may use Customer’s name, logo, trademarks, or related materials in customer lists, sales materials, case studies, press releases, investor materials, website content, or other marketing or reference activities. Customer may participate in reference calls, case studies, or other promotional activities only as mutually agreed by the parties in writing."
Q0182,Usage / Overages,"Company may invoice Customer for any usage exceeding the committed amount set forth in this Order Form at Company’s then-current list rates or applicable overage rates. Customer is responsible for all fees associated with excess usage, whether or not such usage was forecasted, budgeted, or approved in advance by Customer.","Company will provide Customer with reasonable notice if usage is projected to exceed the committed amount set forth in this Order Form. Customer will not be responsible for excess usage fees unless Customer approves the additional usage in writing or the parties mutually agree to address the excess usage through a true-up, expansion order, or renewal."
Q0191,Publicity / Reference Rights,"Company may use Customer’s name, logo, trademarks, and related materials in customer lists, sales materials, case studies, press releases, investor materials, website content, and other marketing or reference activities without requiring Customer’s prior review or approval. Customer agrees to reasonably participate in reference calls, case studies, or other promotional activities upon Company’s request.","Subject to Customer’s prior written approval, Company may use Customer’s name, logo, trademarks, or related materials in customer lists, sales materials, case studies, press releases, investor materials, website content, or other marketing or reference activities. Customer may participate in reference calls, case studies, or other promotional activities only as mutually agreed by the parties in writing."
Q0192,Renewal,"Unless Customer provides written notice of non-renewal at least ninety days before the end of the then-current term, this Order Form will automatically renew for an additional twelve-month term. Renewal fees will be based on Company’s then-current pricing and packaging, and Company may increase renewal pricing by up to ten percent for the renewed term.","This Order Form will not automatically renew unless the parties mutually agree in writing before the end of the then-current term. Any renewal fees will be subject to mutual agreement, and any renewal price increase will not exceed five percent for substantially the same products, scope, usage level, and term length."
Q0201,Usage / Overages,"Company may invoice Customer for any usage exceeding the committed amount set forth in this Order Form at Company’s then-current list rates or applicable overage rates. Customer is responsible for all fees associated with excess usage, whether or not such usage was forecasted, budgeted, or approved in advance by Customer.","Company will provide Customer with reasonable notice if usage is projected to exceed the committed amount set forth in this Order Form. Customer will not be responsible for excess usage fees unless Customer approves the additional usage in writing or the parties mutually agree to address the excess usage through a true-up, expansion order, or renewal."
Q0221,Renewal,"Unless Customer provides written notice of non-renewal at least ninety days before the end of the then-current term, this Order Form will automatically renew for an additional twelve-month term. Renewal fees will be based on Company’s then-current pricing and packaging, and Company may increase renewal pricing by up to ten percent for the renewed term.","This Order Form will not automatically renew unless the parties mutually agree in writing before the end of the then-current term. Any renewal fees will be subject to mutual agreement, and any renewal price increase will not exceed five percent for substantially the same products, scope, usage level, and term length."
Q0231,Usage / Overages,"Company may invoice Customer for any usage exceeding the committed amount set forth in this Order Form at Company’s then-current list rates or applicable overage rates. Customer is responsible for all fees associated with excess usage, whether or not such usage was forecasted, budgeted, or approved in advance by Customer.","Company will provide Customer with reasonable notice if usage is projected to exceed the committed amount set forth in this Order Form. Customer will not be responsible for excess usage fees unless Customer approves the additional usage in writing or the parties mutually agree to address the excess usage through a true-up, expansion order, or renewal."
Q0241,Publicity / Reference Rights,"Company may use Customer’s name, logo, trademarks, and related materials in customer lists, sales materials, case studies, press releases, investor materials, website content, and other marketing or reference activities without requiring Customer’s prior review or approval. Customer agrees to reasonably participate in reference calls, case studies, or other promotional activities upon Company’s request.","Subject to Customer’s prior written approval, Company may use Customer’s name, logo, trademarks, or related materials in customer lists, sales materials, case studies, press releases, investor materials, website content, or other marketing or reference activities. Customer may participate in reference calls, case studies, or other promotional activities only as mutually agreed by the parties in writing."
Q0251,Renewal,"Unless Customer provides written notice of non-renewal at least ninety days before the end of the then-current term, this Order Form will automatically renew for an additional twelve-month term. Renewal fees will be based on Company’s then-current pricing and packaging, and Company may increase renewal pricing by up to ten percent for the renewed term.","This Order Form will not automatically renew unless the parties mutually agree in writing before the end of the then-current term. Any renewal fees will be subject to mutual agreement, and any renewal price increase will not exceed five percent for substantially the same products, scope, usage level, and term length."
